# salmonsen/2/7/Articles.lst
#
index|Titel och innehåll|0001 0003
|Favnsætter, autoriseret Haandværker, som skal udmaale det afkortede Ved|0854
|Favonius (lat.), den lune, milde og fugtige Vestenvind (gr. Zefyros)|0854
|Favonius, Marcus, en Romer, ivrig Tilhænger af Senatspartiet, (o.53)|0854
|favor (lat.), Begunstigelse. Retshandler in favorem tertii, til Gunst for Trediemand|0854
|favorabel (lat.), gunstig, fordelagtig, bevaagen.|0854
|favorabiles causæ (lat.), gunstige Tilfælde, Retsforhold ell. Retshandler, som Lovgivningen betragter med særlig milde Øjne|0854
|Favorinus, gr. Filosof og Retor fra Arelate i Gallien, Discipel af Dion Chrysostomos|0854
|favorisere, se Favorit.|0854
|Favorit, Yndling; Favoritinde, en særlig begunstiget og elsket Kvinde|0854
|Favoritsultaninde, den af den tyrkiske Sultans Hustruer, som han særlig udmærkede|0854-0855
|Favosites, en til Tabulaternes Gruppe henhørende, uddød Slægt af Koraller|0855
|Favras, Thomas Mahi, Marquis de, fr. Militær, (1744-1790)|0855
|Favre, Antoine (Antonius Faber), fr. Retslærer, (1557-1624)|0855
|Favre, Jules, fr. Statsmand og Sagfører, (1809-1880)|0855-0856
|Favre, Louis, Skt-Gotthard-Tunnelens Entreprenør, (1826-1879)|0856
|Favre, Pierre, fr. Jesuit, (1506-1546)|0856
|Favretto, Giacomo, ital. Genremaler, (1849-1887)|0856
|Favrskov, Hovedgaard i Sabro Herred S. f. Randers|0856-0857
|Favrskov Bakker, et Bakkeparti paa Fyn omtr. 13 km NØ. f. Assens|0857
|Favus, Tinea favosa, Kopskurv, er en Hudsygdom, der angriber Mennesker og Dyr|0857
|Favør (fr.), Gunst, Bevaagenhed, Fordel.|0857
|Fawcett, |0857
|1) Henry, engelsk Socialøkonom og Politiker (1833-84).|0857
|2) Millicent, f. Garrett, (1837- )|0857
|Fawkes, Guy, engelsk Konspirator, (1570-1606)|0857-0858
|Faxafjörður ( Faxaós, Faxe-Bugt), en stor Bugt, der skærer sig ind i det vestlige Island|0858
|Faxe, d. s. s. Fakse.|0858
|Faxe-Bugt, se Faxafjörður.|0858
|Faxeelv, se Ångermanelv.|0858
|fax et tuba (lat.), »Fakkel og Trompet«. Anvendes i overført Bet. om Hovedpersonen, Ordføreren ved et Foretagende.|0858
|Fay, Andreas, ungarsk Forf., (1786-1864)|0858
|Fay, Charles Alexandre, fransk General og Militærforfatter, (1827- )|0858
|Fayal, den vestligste Ø af Midtergruppen i den portug. Øgruppe Azorerne ved Afrikas Nordvestkyst|0858
|Fayalit, se Olivin.|0858
|Faye, Andreas, norsk Præst og Forf., (1802-1869)|0858-0859
|Faye, Anton Ludvig, norsk Læge, (1845-1916)|0859
|Faye, Frants Christian, norsk Læge, (1806-1890)|0859
|Faye, Hervé Auguste Etienne Albans, fr. Astronom, (1814-1902)|0859
|Faye, Jørgen Breder, norsk Bankmand og Politiker, (1823-1908)|0859-0860
|Faye's Komet, se Kometer.|0860
|Fayette, se Lafayette.|0860
|Fayetteville, Navnet paa flere Byer i U. S. A., af hvilke nævnes: |0860
|1) F. i North Carolina, ligger 160 km NV. f. Wilmington paa venstre Bred af Cape Fear River|0860
|2) F. i Arkansas, ligger 230 km NV. f. Little Rock i Ozark Mountains ved White River|0860
|Fayum, d. s. s. Fajûm.|0860
|fazenda (portug., svarende til sp. hacienda) betyder en Landejendom og dens Bestyrelse|0860
|Fazio (egl. Bonifazio) degli Uberti, ital. Digter, (c. 1310-1370)|0860
|Fazy, James, schweizisk Statsmand,(1796-1878)|0860
|F-dur, den Durtonart, der har F. til Grundtone ; har et *b for h.|0860
|Fe er det kem. Tegn for Jern (Ferrum).|0860
|Fé, se Santa Fé.|0860
|Fea, Carlo, ital. Arkæolog, (1753-1834)|0860
|Fead-Øerne, ligger Ø. f. Bismarcks-Øerne, N. f. Salomons-Øerne|0860-0861
|Fearnley, Carl Frederik, norsk Astronom, (1818-1890)|0861
|Fearnley, Thomas, norsk Landskabsmaler, (1802-1842)|0861-0862
|Fearnley, Thomas Nicolay, norsk Forretningsmand, (1841- )|0862
|Feather River, Biflod til Sacramento-Floden, U. S. A., Stat California|0862
|Featherstone, By i Yorkshire (West Riding), England, 9 km Ø. f. Wakefield|0862
|Feber (lat. fébris, af fervere, gløde) sygelig Tilstand, karakteriseret ved Feberheden som det mest iøjnefaldende Symptom|0862-0864
|Feberbark, d. s. s. Kinabark.|0864
|Feberkløver, Navn for Almindelig Bukkeblad (se Bukkeblad).|0864
|Febermiddel, se Antipyrese.|0864
|Febertemperatur, se Feber.|0864
|Febertræ, se Eucalyptus.|0864
|Febrifuga (lat.), feberstillende Midler, se Antipyrese.|0864
|febrilsk (lat.), feberagtig; urolig; i stærk Sindsbevægelse, urolig Stemning.|0864
|febris (lat.), Feber.|0864
|Febris (lat.: »Feber«), rom. Gudinde, der havde 3 Helligdomme i Byen|0864
|Febris intermittens, d. s. s. Koldfeber og Malaria.|0864
|Febris recurrens, d. s. s. Typhus recurrens.|0864
|Febris rheumatica, d. s. s. Gigtfeber.|0864
|Febris typholdea, d. s. s. Tyfus.|0864
|Febronianisme, Febronius, se Hontheim.|0864-0865
|februa, lat., i Oldtiden en Renselsesfest og Sonefest for de Døde|0865
|Februar (lat. februarius), i den julianske Kalender den anden, tidligere den sidste af Aarets Maaneder|0865
|Februarrevolutionen, se Frankrig (»Historie«).|0865
|Febvre, Alexandre Frédéric, fr. Skuespiller, (1835- )|0865
|fec., se fecit.|0865
|Fécamp (Fescamp), By i det nordvestlige Frankrig, Dept Seine-Inférieure, ved Kanalen i en snæver Dal|0865
|Fechenheim, Fabrikflække i Preussen, Prov. Hessen-Nassau, ligger 12 km V. f. Hanau ved Main|0865
|Fechner, Gustav Theodor, tysk Fysiker, (1801-1887)|0865-0866
|Fechtels Hospital eller de Hamborger Sjæleboder i Kbhvn er stiftet 1570 af Povl Fechtel|0866
|fecit (lat., oftest forkortet fec.), »har gjort« (det)|0866
|Fecunditas, lat., Personifikation af Frugtbarhed|0866
|Fed, dansk Garnmaal, for Linnedgarn = 264 m og for Uldgarn (Knæk) = 150,6 m|0866
|Fed (undertiden skrevet Fid), gl dansk Betegnelse for en lav, flad, fast Halvø ell. Jordstrimmel langs med Vand|0866
|Feddersen, gl sønderjysk Slægt, hvis Stamfader, Nis Jensen, var Fader til Fedder Nissen, begge Gaardmænd i Silderup|0866
|Feddersen, Arthur Frederik, dansk Fiskerikyndig, (1835-1906)|0866-0867
|Feddersen, Hans Ditmar Frederik, dansk Embedsmand, (1805-1863)|0867
|Fede, Herred, Lister og Mandals Amt, straks Ø. f. Flekkefjord|0867
|Fededam, se Karpeavl.|0867
|fede Legemers Gruppe, De, omfatter de talrige organiske Forbindelser, der afledes af Kulbrinten Metan (Sumpgas)|0867
|fede Olier, se Olier, fede.|0867
|Federacer, ogsaa kaldet Kødracer, Racer af Husdyr, der ifølge Anlæg og Bygning egner sig særlig for Fedning.|0867
|Federhof-Müller, Jens, dansk Musiker, (1858- )|0867
|Federici, Camillo. ital. Komedieforfatter, (1749-1802)|0867-0868
|Federighi de Tolomei, Antonio, ital. Billedhugger og Arkitekt, ( -1490)|0868
|fede Syrer. Med dette Navn benævnes en vigtig homolog Række af enbasiske organiske Syrer|0868
|Fedet, Sjællands Østkyst, en i sydlig Retning udgaaende, lav Landtange, som adskiller Præstø Fjord fra Fakse Bugt|0868
|fede Typer, se Skriftsnit.|0868
|Fedi, Pio, ital. Billedhugger, (1816-1892)|0868
|Fedia Moench., Slægt af Baldrianfamilien med en Art, F. Cornucopiæ DG. (F. incrassata Moench.), enaarig, 15-30 cm høj Urt|0868
|Fedkovitsch, Josif Horodentschuk, lillerussisk (ruthensk) Digter, (1834-1888)|0868-0869
|Fedme, se Fedtsyge.|0869
|Fedning. Herved forstaas den Behandling, de forsk. Husdyr underkastes med det Formaal at faa dem egnede for Slagtebænken|0869-0870
|Fedningskure finder som roborerende, styrkende Diæt Anvendelse ved forsk. Sygdomme|0870
|Fedor (Tsarer), d. s. s. Feodor.|0870
|Fedotov, Pavl Andrevitsch, russ. Genremaler og Digter, (1815-1852)|0870-0871
|Fedraheimen var Navnet paa det i Landsmaal skrevne »Vikeblad aat det norske Folket«|0871
|Fedt, se Fedtstoffer.|0871
|Fedtbolus,  en blød,  brun, lerlignende Substans fra Malmgangene ved Freiberg i Sachsen|0871
|Fedtdegeneration, se Fedtmetamorfose.|0871
|Fedtegrever, det væsentlig af Cellerester bestaaende, stærkt fedtholdige Bundfald, som afsætter sig ved Udsmeltning af Fedt.|0871
|Fedtekstraktion er en vigtig fabrikatorisk Operation inden for Fedtindustrien|0871-0872
|Fedtemboli. Ved Brud af store Rørknogler har man observeret Lungetilfælde og da kunnet paavise Fedt i Lungepulsaarerne|0872
|Fedtfinne ell. Hudfinne (Pinna adiposa) benævnes en Finne, som ganske mangler Straaler og kun bestaar af en Hudfold|0872
|Fedtfugl, Guacharo (Steatornis caripensis Humb.), en Fugleart, der bebor Mellemamerika|0872
|Fedtgaas, se Pingviner.|0872
|Fedtgarvning, se Læder.|0872
|Fedtgas fremstilles ved Opvarmning af Fedtaffald, Affald fra Petroleumstilberedningen o. l.|0872
|Fedthalefaar, se Faar.|0872
|Fedthjerte kaldes dels den Forandring af Hjertet, som finder Sted ved Fedtsyge (s. d.)|0872
|Fedtinfiltration,  se Fedtmetamorfose.|0872
|Fedtkirtler, ell. Talgkirtler, se Hud.|0872
|Fedtkvarts, en halvgennemsigtig, fedtglinsende Varietet af Mineralet Kvarts.|0872
|Fedtlever. I Levercellerne findes altid en større ell. mindre Mængde Fedtkorn|0872-0873
|Fedtlæder, se Læder.|0873
|Fedtmetamorfose. Enhver Tilstand, hvor Fedt aflejres i Legemets Celler, gaar ind under F.|0873
|Fedtsamler, se Husspildevandsledninger.|0873
|Fedtschenko, Alexej Pavlovitsch, russ. Opdagelsesrejsende og Naturforsker, (1844-73)|0873-0874
|Fedtsten, d. s. s. Nefelin.|0874
|Fedtstensbrænder. Ved de tidligere Anvendelser af Gasbelysning|0874
|Fedtstoffer er en Gruppe af organiske Stoffer, der findes alm. udbredte i Plante- og Dyreriget|0874
|Fedtsvulst (Lipoma) forekommer temmelig alm. paa Steder af Legemet, hvor Fedtvæv findes|0874
|Fedtsyge (Lipomotosis, Adipositas universalis), en sygelig Tilstand p. Gr. a. for rigelig Fedtaflejring i Organismen|0874-0875
|Fedtsyre, se Sebaeinsyre.|0875
|Fedtvæv, visse af Bindevævets Celler omdannes til Fedtceller|0875-0876
|fee (eng. af lat. feodum) var det ældre eng. Retssprogs Betegnelse for Len, særlig for det arvelige Len|0876
|Fée, Antoine Laurent Apollinaire, fr. Botaniker, (1789-1874)|0876
|Feer (fr. fée, af lat. fata, Skæbnegudinde), overnaturlige kvindelige Væsener|0876-0877
|Feeri (fr.), Eventyrspil, Tryllekomedie, et dram. Arbejde, i hvilket Dekorationer, Maskineri og Ballet spiller Hovedrollen|0877
|Fefor, norsk Højfjeldssanatorium, beliggende 11 km fra Vinstra Station, 8 Timers Jernbanekørsel fra Kria|0877
|Fegatella Raddi (Hepatica Mich., Conocephalus Neck.), Levermosslægt af Marchantiaceernes Fam.|0877
|Feggeklit, se Feggesund.|0877
|Feggesund, et c. 1,5 km bredt og indtil c. 20 m dybt Farvand i Limfjorden|0877
|Fehirde (oldnordisk féhirðir, egl. »Vogter af Gods«) var i Norges senere Middelalder den, der havde Kongens Kasse i Hænde|0877
|Fehling, Hermann von, tysk Kemiker, (1811-1885)|0877
|Fehlings Vædske, se Fehling.|0877
|Fehmgerichte, se Femgerichte.|0877
|Fehrbellin, By i Braunschweig, 52 km NV. f. Berlin|0877
|Fehrmann, |0877
|1) Daniel, svensk Medaillør af tysk Slægt, (1710-1780)|0877
|2) Karl Gustaf, sv. Medaillør,(1746-1798)|0877-0878
|Feidias, Oldtidens navnkundigste Billedhugger, Søn af Charmides, f. i Beg. af 5. Aarh. f. Kr. i Athen,|0878-0879
|Feidippides (»som skaaner Hestene«), i Aristofanes' Komedie »Skyerne« den Væddeløbssporten dyrkende Søn af Strepsiades.|0879
|Feidon, argivisk Konge c. 700 f. Kr., indførte et særligt Maal- og Møntsystem i Peloponnes.|0879
|Feigum Fos  i Næs, Anneks til Lyster i Sogn, dannes af den paa Østsiden af Fjorden ved Gaarden Feigum udfaldende Elv|0879
|Feijenoord, lille Ø ved venstre Bred af Maas, udgør siden 1869 en Del af Rotterdam.|0879
|Feijo, Antonio de Gastro, portug. Diplomat og Digter, (1860-1917)|0879
|Feijoo y Montenegro, Benito Jerónimo, sp. Forf., (1676-1764)|0879
|Feilberg, en efter Traditionen fra sønderjyske Selvejerbønder stammende Slægt|0879-0880
|Feilberg, Carl Adolph, dansk Læge, (1844- )|0880
|Feilberg, Henning Frederik, dansk Folkemindeforsker og Sprogmand, (1831- )|0880
|Feilberg, Karl Frederik, norsk Skolemand og religionsfilos. Forf., (1828-1909)|0880
|Feilberg, Ludvig Tage Christian Müller, dansk Ingeniør og Filosof, (1849-1912)|0880-0881
|Feilberg, Peter Berendt, dansk Landmand, (1835- )|0881
|Feilitzen, |0881
|1) August Gustaf Reinhold von, sv. Søofficer (1815-98)|0881
|2) Otto Theodor Fabian von, sv. Embedsmand og Forf., (1820-89)|0881
|3) Olof Otto Urban von, sv. Embedsmand og Forf., (1834- )|0881
|Feilitzen, Carl von, svensk Landbrugskemiker, Grundlæggeren af rationelt Mosebrug i Sverige, (1840-1901)|0881-0882
|Feiring, Herred, øvre Romerikes Fogderi, Akershus Amt|0882
|Feis (Fais, Tromelin), høj Koralø af de vestlige Karoliner, tilhører Tyskland|0882
|Feistritz, Flod i den østerr. Prov. Steiermark, udspringer paa Wechsel S. f. Semmering-Passet|0882
|Feith, Rhijnvis, holl. Forf., (1753-1824)|0882
|Feizi (Fejjazi), Digternavn for Sheikh Abul-Feiz, pers. Digter, (1547-1595)|0882
|fej, fejg, betyder opr. i de nordiske Sprog »dødsbestemt«, »dødsviet«; »frygtsom i Fare« er indkommet ved Laan fra Tysk|0883
|Fej er en populær Betegnelse for det paa Gader og Veje sammenfej ede Affald|0883
|Fejdebrev. Som i Fejderet omtalt, var det baade i Tyskland og Danmark Skik, at Fejden indlededes med en formelig Undsigelse|0883
|Fejdehandske. Naar en god Mand eller Ridder kastede sin Handske for den Udfordredes Fod|0883
|Fejderet kaldes i Reglen den Ret at tage sig selv til Rette i Anledning af tilføjede Krænkelser|0883-0884
|feje (Jagtudtryk), se Fejning.|0884
|Fejemaskine kaldes en Maskine til Sammenfejning af Gadeaffald (se Fej)|0884
|Fejhed siges at være udvist, naar et Menneske unddrager sig en ubehagelig Situation|0884-0885
|Fejhed. Den Militær, der før ell. under en Fægtning, krænker sin Tjenestepligt af Frygt for personlig Fare|0885
|Fejl (ved en leveret Vare), se Mangler og Skjulte Fejl.|0885
|Fejlgrænse (mat.). Naar en Størrelse er udtrykt med Tilnærmelse, angiver F. de numerisk største positive og negative Afvigelser|0885
|Fejlgrænse eller Tolerance kaldes det Spillerum, inden for hvilket Mønter o. s. v. tør afvige fra den nøjagtige Størrelse|0885
|Fejllære, Fejlteori (mat.). Naar en Størrelse maales, vil Maalingerne alm. være behæftede med Fejl|0885
|Fejlskrift|0885
|Fejlslagning betegner i den bot. Formlære et Organs totale Udebliven ell. partielle Mangelfuldhed i Udviklingen|0885
|Fejlslutning, Tankegange, der ret beset viser sig ikke at stemme overens med dem, der anses for logisk gyldige|0885
|Fejltællingspenge, Beløb, Kassereren i Pengeinstitutter oppebærer som Vederlag for Risikoen ved fejlagtige Udbetalinger|0885
|Fejning kaldes i Skovbruget den Skade, Hjortene øver paa Træerne, naar de gnider deres nydannede Takker mod dem|0885-0886
|Fejning betyder i Jagtsproget, at det Hudovertræk »Basten«, som beklæder den Benmasse, der danner Vildtets Horn, gnides af|0886
|fejst, i Jagtsproget Haarvildtet, naar det er godt i Stand.|0886
|Fejø (i Valdemar's Jordebog Fæø), lille dansk Ø i den sydlige Del af Vordingborg Bugt|0886
|Fejø Staalgrund, Fejø Sletterev og Fejø Kirkegrund|0886
|Felanitz, Felaniche, By paa Mallorca i den sp. Øgruppe Balearerne, 50 km SØ. f. Hovedstaden Palma|0886
|Felberedning, se Læder.|0886
|Felbiger, Johann Ignaz von, tysk Skolemand, (1724-1788)|0886
|Feldberg, det højeste Punkt i Schwarzwald|0886
|Feldkirch. By i det til Tyrol hørende Landskab Vorarlberg i Østerrig|0886
|Feldmann, Leopold,, tysk Lystspilforfatter, (1802-82)|0886
|Feldspat, Fællesnavn for en Gruppe af Mineraler|0886-0888
|Feldspatmel, fint malet Feldspat, har undertiden været bragt i Forslag som Gødning|0888
|Feldwebel er i Tyskland og Østerrig Navnet paa Kompagniets første Underofficer|0888
|Fele (norsk *c: Violin), sv. fela, oldnordisk fiðla|0888
|Félegyháza (Kiskunfélegyháza), By i Mellemungarn, Komitat Pest|0888
|Feletz, Charles Marie Dorimond, Abbé de, fr. Kritiker, (1767-1850)|0888
|Félibien, André, fr. Arkæolog, (1619-1695)|0888
|Félibre er den officielle Betegnelse for Medlemmerne af det moderne, nyprovençalske Digterforbund (lou felibrige)|0888-0889
|Felicissimus' Skisma opstod i Karthago, 250 e.Kr.|0889
|Felicitas, rom. Gudinde, Personifikation af Lykken|0889
|Felicitas, den hellige, en kristen Slavinde i Karthago (c. 200)|0889
|feliciter (lat.), lykkeligt (Adverb.); til Lykke!|0889
|felicitere, fr. feliciter, lykønske|0889-0890
|Felidæ, se Katte.|0890
|Felinski, Aloizy, polsk Forf., (1771-1820)|0890
|Felis, se Katte.|0890
|Feliu y Codina, José, sp. Dramatiker, (1847-97)|0890
|felix (lat.), lykkelig. Bruges som Navn.|0890
|Felix, 5 Paver af dette Navn, hvoraf den 5. var skismatisk.|0890
|1) F. I, Pave c.269-74, skal være død som Martyr 30. Maj 274; han har Helgennavn.|0890
|2) F. II, valgt til Pave 355 af det arianske Hofparti|0890
|3) F. III, Pave 483-92, en rom. Præstesøn|0890
|4) F. IV, Pave 526-30.|0890
|5) F. V, se Amadeus VIII, den Fredsommelige.|0890
|Felix, Antonius, Prokurator over Judæa 52-60 e. Kr.|0890
|Felix Rachel, se Rachel.|0890
|Felixstowe, Badested i Øst-Suffolk (England), paa Landtangen mellem Orwell og Deben, lige over for Harwich.|0890
|Fellah (arab. *c: Bonde, af falah *c: pløje) er i Orienten den fælles Betegnelse for alle fast bosiddende Agerdyrkere|0890-0891
|Fellandren, C<sub>10</sub>H<sub>16</sub>, en Kulbrinte af Terpenernes Række|0891
|Fellatah, se Fulbe.|0891
|Fellenberg, Philipp Emanuel von, schweizisk Opdrager og Landmand, (1771-1844)|0891
|Felletin, By i Mellemfrankrig, Dept Creuse, ved højre Bred af Creuse|0891
|Fellin, Velian, By i det vestlige Rusland, Guv. Livland, ligger ved en lille Sø af s. N.|0891
|Felling, By i det østlige England, Durham, ved Tyne, østlig Forstad til Gateshead|0891
|Fellman, Jakob, finsk Præst og videnskabelig Forsker, (1795-1875)|0891-0892
|Felloderm, Fellogen, Felloid, se Kork.|0892
|Felloplastik, af gr. fellos, Kork, Arbejde i Kork,|0892
|Fellow (eng.), Fælle, Kammerat, Medlem; Ordet benyttes i England som Betegnelse for de øverste Medlemmer af et lærd Samfund|0892
|Fellows, Sir Charles, eng. Oldgransker og Rejsende, (1799-1860)|0892
|Fellowship, se Fellow.|0892
|Fellow's Syrup of Hypophosphite, se Arkana.|0892
|Fell'ske Jernbaner er en Slags Bjergbaner til Anvendelse paa stærke Stigninger|0892
|Feloni (eng. felony). Efter den opr. Bet. forstaar man ved F. Brud paa Troskabspligten i Lensforhold|0892-0893
|Felpel, langhaaret Fløjl,|0893
|Fels (Fils, FL: Flus, Fulu), alm. kaldet Delila, en marokkansk Mønt af Kobber og Zink.|0893
|Felsberg. Bjerg i Qdenwald, Storhertugdømmet Hessen|0893
|Felsing, tre tyske Kobberstikkere.|0893
|Felsit, den oftest lyse, tætte Hovedmasse i de under Kvartsporfyrer sammenfattede eruptive (vulkanske) Stenarter.|0893
|Felsit-Fels, Felsit-Porfyr, se Felsit.|0893
|Felskov-Rev, SV. f. Stevns, skyder sig fra Pynten Ø. f. Højstrup ud i sydøstlig Retning|0893
|Felsofyr, se Felsit.|0893
|Felsosfæritter, se Felsit.|0893
|Felsøbanyit er et vandholdigt Aluminiumsulfat af hvid Farve fra Felsø-banya i Ungarn.|0893
|Felt, Betegnelse for det heraldiske Skjolds Flade; deles Skjoldet fremkommer fl. Felter|0893
|Felt (Grube-F.) er det iflg. Bjergloven udmaalte Areal, inden for hvis Grænser Mutheren kan drive Gruber|0893
|Felt (fys.), Omraade|0893
|Felt. Udtryk som »Løbet har et F. paa 9 Heste«, betegner i Væddeløbssproget, at 9 Heste deltager i det paagældende Løb|0893
|Feltaffutage, se Affutage S. 216.|0893
|Feltalter kaldes et for Feltgudstjeneste indrettet Alter|0893
|Feltarme (Felthær) kaldes den til den egl. Krigsføring i aaben Mark bestemte Del af Hæren|0893-0894
|Feltartilleri kaldes den Del af Artilleriet (Skyts og Personel), der væsentligst er bestemt til at anvendes ved Felthæren|0894
